#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABF2	DREB2A	3702.Q9M7Q4	3702.O82132	0	0	0	0	0	0.292	0.047	0.943	0.958
ABF2	COR47	3702.Q9M7Q4	3702.P31168	0	0	0	0	0	0	0	0.719	0.719
ABF2	LTI65	3702.Q9M7Q4	3702.Q04980	0	0	0	0	0	0	0	0.890	0.890
ABF2	RD29A	3702.Q9M7Q4	3702.Q06738	0	0	0	0	0.044	0	0	0.881	0.881
ABF2	RD22	3702.Q9M7Q4	3702.Q08298	0	0	0	0	0.048	0	0	0.791	0.792
ABF2	NAC002	3702.Q9M7Q4	3702.Q39013	0	0	0	0	0	0	0	0.775	0.775
ABF2	HSFA3	3702.Q9M7Q4	3702.Q8GYY1	0	0	0	0	0	0	0	0.400	0.400
ABF2	NAC072	3702.Q9M7Q4	3702.Q93VY3	0	0	0	0	0	0	0	0.793	0.793
ABF2	HSFA6b	3702.Q9M7Q4	3702.Q9LUH8	0	0	0	0	0	0	0	0.540	0.540
ABF2	ABF3	3702.Q9M7Q4	3702.Q9M7Q3	0	0	0.083	0.875	0.087	0.450	0	0.152	0.557
ABF3	DREB2A	3702.Q9M7Q3	3702.O82132	0	0	0	0	0	0	0.047	0.874	0.874
ABF3	COR47	3702.Q9M7Q3	3702.P31168	0	0	0	0	0.060	0	0	0.540	0.549
ABF3	LTI65	3702.Q9M7Q3	3702.Q04980	0	0	0	0	0.103	0	0	0.881	0.888
ABF3	RD29A	3702.Q9M7Q3	3702.Q06738	0	0	0	0	0.057	0	0	0.810	0.813
ABF3	RD22	3702.Q9M7Q3	3702.Q08298	0	0	0	0	0.057	0	0	0.790	0.793
ABF3	NAC002	3702.Q9M7Q3	3702.Q39013	0	0	0	0	0.061	0	0	0.540	0.549
ABF3	NAC072	3702.Q9M7Q3	3702.Q93VY3	0	0	0	0	0.100	0	0	0.791	0.803
ABF3	ABF4	3702.Q9M7Q3	3702.Q9M7Q2	0	0	0	0.905	0.093	0.450	0	0.128	0.527
ABF3	DRIP1	3702.Q9M7Q3	3702.Q9M9Y4	0	0	0	0	0	0	0	0.431	0.431
ABF4	DREB2A	3702.Q9M7Q2	3702.O82132	0	0	0	0	0.042	0.230	0.047	0.876	0.901
ABF4	COR47	3702.Q9M7Q2	3702.P31168	0	0	0	0	0.045	0	0	0.599	0.600
ABF4	LTI65	3702.Q9M7Q2	3702.Q04980	0	0	0	0	0.042	0	0	0.825	0.825
ABF4	RD29A	3702.Q9M7Q2	3702.Q06738	0	0	0	0	0.043	0	0	0.881	0.881
ABF4	RD22	3702.Q9M7Q2	3702.Q08298	0	0	0	0	0	0	0	0.793	0.793
ABF4	NAC002	3702.Q9M7Q2	3702.Q39013	0	0	0	0	0.057	0	0	0.718	0.722
ABF4	NAC072	3702.Q9M7Q2	3702.Q93VY3	0	0	0	0	0.140	0	0	0.792	0.813
ABF4	DRIP1	3702.Q9M7Q2	3702.Q9M9Y4	0	0	0	0	0	0	0	0.433	0.433
COR47	DREB2A	3702.P31168	3702.O82132	0	0	0	0	0.104	0	0	0.805	0.817
COR47	NAC002	3702.P31168	3702.Q39013	0	0	0	0	0	0	0	0.513	0.513
COR47	ZAT10	3702.P31168	3702.Q96289	0	0	0	0	0.048	0	0	0.575	0.578
COR47	ZAT12	3702.P31168	3702.Q42410	0	0	0	0	0.054	0	0	0.718	0.721
COR47	NAC072	3702.P31168	3702.Q93VY3	0	0	0	0	0.140	0	0	0.720	0.748
COR47	RD22	3702.P31168	3702.Q08298	0	0	0	0	0.062	0	0	0.890	0.892
COR47	LTI65	3702.P31168	3702.Q04980	0	0	0	0	0.056	0	0	0.899	0.900
COR47	RD29A	3702.P31168	3702.Q06738	0	0	0	0	0.312	0	0	0.956	0.968
DREB2A	HSFA2	3702.O82132	3702.O80982	0	0	0	0	0.207	0.049	0	0.880	0.902
DREB2A	HSFA6b	3702.O82132	3702.Q9LUH8	0	0	0	0	0.141	0.049	0	0.792	0.816
DREB2A	SRO1	3702.O82132	3702.O82289	0.043	0	0	0	0.054	0.234	0	0.774	0.822
DREB2A	MBF1C	3702.O82132	3702.Q9LV58	0	0	0	0	0.106	0	0	0.813	0.825
DREB2A	NAC002	3702.O82132	3702.Q39013	0	0	0	0	0.254	0.062	0.091	0.759	0.826
DREB2A	NAC072	3702.O82132	3702.Q93VY3	0	0	0	0	0.140	0.062	0.091	0.794	0.828
DREB2A	ZAT12	3702.O82132	3702.Q42410	0	0	0	0	0.348	0.109	0.094	0.740	0.844
DREB2A	RCD1	3702.O82132	3702.Q8RY59	0.043	0	0	0	0.044	0.512	0	0.696	0.846
DREB2A	ZAT10	3702.O82132	3702.Q96289	0	0	0	0	0.311	0.109	0.094	0.779	0.860
DREB2A	RD22	3702.O82132	3702.Q08298	0	0	0	0	0	0.079	0.075	0.860	0.870
DREB2A	DRIP2	3702.O82132	3702.Q94AY3	0	0	0	0	0	0.235	0.054	0.889	0.912
DREB2A	HSFA3	3702.O82132	3702.Q8GYY1	0	0	0	0	0.053	0.049	0	0.913	0.915
DREB2A	LTI65	3702.O82132	3702.Q04980	0	0	0	0	0.050	0	0	0.926	0.926
DREB2A	RD29A	3702.O82132	3702.Q06738	0	0	0	0	0.065	0	0	0.926	0.927
DREB2A	DRIP1	3702.O82132	3702.Q9M9Y4	0	0	0	0	0	0.297	0.054	0.936	0.953
DREB2A	MED25	3702.O82132	3702.Q7XYY2	0	0	0	0	0.049	0.790	0.094	0.830	0.965
DRIP1	HSFA3	3702.Q9M9Y4	3702.Q8GYY1	0	0	0	0	0	0	0	0.496	0.496
HSFA2	HSFA3	3702.O80982	3702.Q8GYY1	0	0	0.121	0.838	0.053	0	0	0.521	0.566
HSFA2	ZAT10	3702.O80982	3702.Q96289	0	0	0	0	0.079	0.054	0	0.597	0.618
HSFA2	ZAT12	3702.O80982	3702.Q42410	0	0	0	0	0.075	0.054	0	0.739	0.751
HSFA2	MBF1C	3702.O80982	3702.Q9LV58	0	0	0	0	0.448	0	0	0.898	0.941
HSFA3	RD29A	3702.Q8GYY1	3702.Q06738	0	0	0	0	0	0	0	0.545	0.545
HSFA3	ZAT12	3702.Q8GYY1	3702.Q42410	0	0	0	0	0.058	0.054	0	0.403	0.421
HSFA3	ZAT10	3702.Q8GYY1	3702.Q96289	0	0	0	0	0.060	0.054	0	0.431	0.449
HSFA3	MBF1C	3702.Q8GYY1	3702.Q9LV58	0	0	0	0	0.044	0	0	0.795	0.795
HSFA6b	MBF1C	3702.Q9LUH8	3702.Q9LV58	0	0	0	0	0	0	0	0.574	0.574
LTI65	ZAT12	3702.Q04980	3702.Q42410	0	0	0	0	0	0	0	0.431	0.431
LTI65	ZAT10	3702.Q04980	3702.Q96289	0	0	0	0	0	0	0	0.483	0.483
LTI65	NAC002	3702.Q04980	3702.Q39013	0	0	0	0	0.045	0	0	0.547	0.548
LTI65	NAC072	3702.Q04980	3702.Q93VY3	0	0	0	0	0.073	0	0	0.850	0.855
LTI65	RD22	3702.Q04980	3702.Q08298	0	0	0	0	0.081	0	0	0.927	0.930
NAC002	RD29A	3702.Q39013	3702.Q06738	0	0	0	0	0	0	0	0.720	0.720
NAC002	RD22	3702.Q39013	3702.Q08298	0	0	0	0	0	0.058	0.069	0.597	0.615
NAC002	ZAT12	3702.Q39013	3702.Q42410	0	0	0	0	0.180	0.061	0.046	0.295	0.413
NAC002	ZAT10	3702.Q39013	3702.Q96289	0	0	0	0	0.140	0.061	0.046	0.378	0.457
NAC072	RD29A	3702.Q93VY3	3702.Q06738	0	0	0	0	0.134	0	0	0.822	0.839
NAC072	RD22	3702.Q93VY3	3702.Q08298	0	0	0	0	0	0.058	0.069	0.794	0.803
NAC072	ZAT10	3702.Q93VY3	3702.Q96289	0	0	0	0	0.177	0.061	0.046	0.546	0.620
RD22	RD29A	3702.Q08298	3702.Q06738	0	0	0	0	0.097	0	0	0.928	0.932
RD22	ZAT12	3702.Q08298	3702.Q42410	0	0	0	0	0	0.078	0.084	0.347	0.401
RD22	ZAT10	3702.Q08298	3702.Q96289	0	0	0	0	0	0.078	0.084	0.545	0.582
RD29A	ZAT12	3702.Q06738	3702.Q42410	0	0	0	0	0	0	0	0.719	0.719
RD29A	ZAT10	3702.Q06738	3702.Q96289	0	0	0	0	0.051	0	0	0.753	0.755
ZAT10	ZAT12	3702.Q96289	3702.Q42410	0	0	0	0.736	0.481	0	0	0.506	0.732
